,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
abnormal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001260943394906534,0.0,0.0,0.0
abode,0.0,0.0,0.010169965943144371,0.0,0.0,0.0021334766378896335,0.0,0.006571368868809416,0.0,0.0,0.0,0.0019710645847160102,0.0,0.0,0.0,0.0019177605199659502,0.0
abolish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001260943394906534,0.0,0.0,0.0
abominable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002521886789813068,0.0,0.0,0.0
abominably,0.0,0.0,0.0,0.00750690230064871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abomination,0.0,0.0,0.0,0.006554893181719097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001101033279877949,0.0,0.0,0.0
abound,0.0,0.014297789952693757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026026143857131166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrahams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029216978767295813,0.0
abreast,0.0,0.0,0.0,0.0,0.0,0.0016251701132853076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abroad,0.0,0.002523883049300941,0.0,0.0,0.0,0.006024464312958269,0.003379213543908035,0.0026508695133262068,0.0,0.02236375681669551,0.0,0.0,0.0,0.0006677550176066883,0.0009566905477881379,0.003094474224612754,0.0
abrogate,0.0,0.004765929984231252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrupt,0.0,0.0,0.0,0.0,0.0,0.0,0.005571843675532698,0.0,0.0,0.0,0.0,0.0,0.0,0.003303099839633847,0.0,0.0,0.0
abruptly,0.0,0.0028985038931741646,0.0,0.0,0.0,0.003953530090465715,0.0,0.003044339002475129,0.0,0.0,0.0,0.0018262827460895723,0.0,0.0038343506422685793,0.001098692460450928,0.0,0.0
absence,0.0018188334609715695,0.005398911717366157,0.0,0.0,0.0,0.001841015289011764,0.010842861123898375,0.0028352760799811288,0.0,0.004783896336061486,0.0,0.0,0.0,0.0,0.0010232423031204712,0.0,0.0
absent,0.0,0.0,0.008205064487616149,0.003975413724509763,0.0,0.0017212755179880767,0.0,0.0,0.0017228259630600853,0.0,0.004222012765008732,0.0015902424961170415,0.0,0.002003265052820065,0.002870071643364414,0.0,0.0
absently,0.0,0.0,0.0,0.0,0.0,0.0016251701132853076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolute,0.0,0.009384863956137161,0.0,0.014782268530318126,0.0,0.0021334766378896335,0.0,0.0,0.0,0.011087720055330597,0.0,0.0,0.0,0.00248299539790582,0.0,0.0,0.0
absolutely,0.0,0.006674262247490199,0.0,0.010512750876867667,0.0,0.0007586355351937394,0.0029787113668043965,0.0,0.0015186377577245142,0.003942643799734554,0.003721622575938347,0.0,0.009766107698304598,0.012949488861091214,0.0008433042103385952,0.0,0.0
absorb,0.004215542065680253,0.0,0.0,0.0,0.0,0.0010667383189448168,0.0,0.0,0.0021353983745929636,0.0,0.0,0.0,0.0,0.003310660530541093,0.0023715865497018784,0.0,0.0
absorbed,0.006422355750018729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008446041047921503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
